location,skew,distortion
new_york,50000,50
new_york,500,28
new_york,5000,47
new_york,10000,50
new_york,100,0
new_york,20000,50
new_york,200,23
new_york,2000,40
new_york,1000,37
newhaven,50000,50
newhaven,500,29
newhaven,5000,49
newhaven,10000,50
newhaven,100,0
newhaven,20000,50
newhaven,200,9
newhaven,2000,45
newhaven,1000,40
decatur,50000,50
decatur,500,13
decatur,5000,32
decatur,10000,37
decatur,100,0
decatur,20000,40
decatur,200,5
decatur,2000,28
decatur,1000,16
baltimore,50000,50
baltimore,500,28
baltimore,5000,50
baltimore,10000,50
baltimore,100,0
baltimore,20000,50
baltimore,200,18
baltimore,2000,45
baltimore,1000,36
dallas,50000,50
dallas,500,34
dallas,5000,49
dallas,10000,50
dallas,100,0
dallas,20000,50
dallas,200,14
dallas,2000,49
dallas,1000,41
redmond,50000,50
redmond,500,25
redmond,5000,50
redmond,10000,50
redmond,100,0
redmond,20000,50
redmond,200,15
redmond,2000,41
redmond,1000,33
