location,skew,distortion
baltimore,50000,20
baltimore,500,9
baltimore,5000,20
baltimore,10000,20
baltimore,100,0
baltimore,20000,20
baltimore,200,5
baltimore,2000,17
baltimore,1000,13
decatur,50000,20
decatur,500,7
decatur,5000,12
decatur,10000,15
decatur,100,0
decatur,20000,18
decatur,200,4
decatur,2000,11
decatur,1000,6
redmond,50000,20
redmond,500,7
redmond,5000,20
redmond,10000,20
redmond,100,0
redmond,20000,20
redmond,200,3
redmond,2000,13
redmond,1000,12
new_york,50000,20
new_york,500,12
new_york,5000,19
new_york,10000,20
new_york,100,0
new_york,20000,20
new_york,200,11
new_york,2000,18
new_york,1000,15
dallas,50000,20
dallas,500,12
dallas,5000,20
dallas,10000,20
dallas,100,0
dallas,20000,20
dallas,200,4
dallas,2000,20
dallas,1000,17
newhaven,50000,20
newhaven,500,10
newhaven,5000,20
newhaven,10000,20
newhaven,100,0
newhaven,20000,20
newhaven,200,0
newhaven,2000,18
newhaven,1000,12
