location,skew,distortion
baltimore,500,0.0
baltimore,5000,1.97
baltimore,100,0.0
baltimore,200,0.0
baltimore,2000,0.0
baltimore,1000,0.0
decatur,50000,19.15
decatur,500,0.02
decatur,5000,0.19
decatur,10000,0.19
decatur,100,0.0
decatur,20000,1.0
decatur,200,0.0
decatur,2000,0.19
decatur,1000,0.02
redmond,500,0.0
redmond,5000,1.43
redmond,10000,1.99
redmond,100,0.0
redmond,200,0.0
redmond,2000,0.24
redmond,1000,0.09
new_york,50000,0.0
new_york,500,0.0
new_york,5000,0.0
new_york,10000,0.99
new_york,100,0.0
new_york,20000,0.0
new_york,200,0.0
new_york,2000,0.0
new_york,1000,0.0
dallas,500,0.0
dallas,5000,2.08
dallas,10000,3.37
dallas,100,0.0
dallas,200,0.0
dallas,2000,0.96
dallas,1000,0.27
newhaven,500,0.0
newhaven,5000,1.18
newhaven,10000,2.52
newhaven,100,0.0
newhaven,20000,2.91
newhaven,200,0.0
newhaven,2000,1.02
newhaven,1000,0.0
