location,skew,distortion
baltimore,100,9
baltimore,200,16
baltimore,500,19
baltimore,1000,25
baltimore,2000,31
baltimore,5000,35
baltimore,10000,35
baltimore,20000,35
baltimore,50000,35
dallas,100,10
dallas,200,13
dallas,500,24
dallas,1000,28
dallas,2000,33
dallas,5000,34
dallas,10000,35
dallas,20000,35
dallas,50000,35
decatur,100,4
decatur,200,6
decatur,500,10
decatur,1000,12
decatur,2000,19
decatur,5000,22
decatur,10000,25
decatur,20000,33
decatur,50000,35
new_york,100,13
new_york,200,16
new_york,500,25
new_york,1000,30
new_york,2000,35
new_york,5000,35
new_york,10000,35
new_york,20000,35
new_york,50000,35
newhaven,100,10
newhaven,200,12
newhaven,500,19
newhaven,1000,29
newhaven,2000,32
newhaven,5000,35
newhaven,10000,35
newhaven,20000,35
newhaven,50000,35
redmond,100,4
redmond,200,13
redmond,500,15
redmond,1000,22
redmond,2000,27
redmond,5000,35
redmond,10000,35
redmond,20000,35
redmond,50000,35
