location,skew,distortion
baltimore,100,35
baltimore,200,35
baltimore,500,33
baltimore,1000,32
baltimore,2000,27
baltimore,5000,15
baltimore,10000,4
baltimore,20000,0
baltimore,50000,0
dallas,100,35
dallas,200,35
dallas,500,33
dallas,1000,33
dallas,2000,31
dallas,5000,20
dallas,10000,2
dallas,20000,0
dallas,50000,0
decatur,100,35
decatur,200,35
decatur,500,35
decatur,1000,34
decatur,2000,34
decatur,5000,34
decatur,10000,30
decatur,20000,30
decatur,50000,0
new_york,100,35
new_york,200,35
new_york,500,33
new_york,1000,31
new_york,2000,29
new_york,5000,12
new_york,10000,9
new_york,20000,4
new_york,50000,0
newhaven,100,35
newhaven,200,35
newhaven,500,34
newhaven,1000,33
newhaven,2000,29
newhaven,5000,25
newhaven,10000,14
newhaven,20000,0
newhaven,50000,0
redmond,100,35
redmond,200,34
redmond,500,34
redmond,1000,33
redmond,2000,31
redmond,5000,25
redmond,10000,24
redmond,20000,1
redmond,50000,0
