skew,distance,location
100,17,1
200,24,1
300,24,1
400,35,1
500,38,1
600,36,1
700,43,1
800,43,1
900,42,1
1000,45,1
2000,49,1
5000,49,1
10000,49,1
100,22,2
200,25,2
300,32,2
400,33,2
500,40,2
600,37,2
700,42,2
800,45,2
900,45,2
1000,47,2
2000,48,2
5000,49,2
10000,49,2
100,23,3
200,20,3
300,27,3
400,31,3
500,36,3
600,40,3
700,36,3
800,42,3
900,46,3
1000,46,3
2000,47,3
5000,49,3
10000,49,3
100,2,4
200,6,4
300,10,4
400,18,4
500,17,4
600,10,4
700,17,4
800,18,4
900,23,4
1000,22,4
2000,28,4
5000,39,4
10000,46,4
