location,skew,distortion
redmond,50000,10
redmond,500,0
redmond,5000,6
redmond,10000,6
redmond,100,0
redmond,20000,10
redmond,200,0
redmond,2000,4
redmond,1000,2
new_york,50000,10
new_york,500,2
new_york,5000,8
new_york,10000,9
new_york,100,0
new_york,20000,10
new_york,200,2
new_york,2000,4
new_york,1000,6
baltimore,50000,10
baltimore,500,2
baltimore,5000,9
baltimore,10000,10
baltimore,100,0
baltimore,20000,10
baltimore,200,0
baltimore,2000,7
baltimore,1000,2
dallas,50000,10
dallas,500,6
dallas,5000,10
dallas,10000,10
dallas,100,0
dallas,20000,10
dallas,200,4
dallas,2000,6
dallas,1000,6
decatur,50000,1
decatur,500,0
decatur,10000,0
decatur,100,0
decatur,20000,0
decatur,200,0
decatur,2000,0
decatur,1000,0
