location,skew,distortion
redmond,500,0.0
redmond,5000,0.0
redmond,10000,0.0
redmond,100,0.0
redmond,20000,2.3
redmond,200,0.0
redmond,2000,0.0
redmond,1000,0.0
new_york,50000,4.8
new_york,500,0.0
new_york,5000,0.0
new_york,10000,0.0
new_york,100,0.0
new_york,20000,4.6
new_york,200,0.0
new_york,2000,0.0
new_york,1000,0.0
baltimore,50000,6.3
baltimore,500,0.0
baltimore,5000,0.9
baltimore,10000,4.0
baltimore,100,0.0
baltimore,20000,5.1
baltimore,200,0.0
baltimore,2000,0.0
baltimore,1000,0.0
dallas,50000,3.8
dallas,500,1.3
dallas,5000,1.5
dallas,10000,5.0
dallas,100,0.0
dallas,200,0.0
dallas,2000,1.5
dallas,1000,0.0
decatur,500,0.0
decatur,10000,0.0
decatur,100,0.0
decatur,20000,0.0
decatur,200,0.0
decatur,2000,0.0
decatur,1000,0.0
