location,skew,distortion
redmond,50000,0
redmond,500,5
redmond,5000,4
redmond,10000,3
redmond,100,5
redmond,20000,1
redmond,200,5
redmond,2000,5
redmond,1000,5
new_york,50000,0
new_york,500,4
new_york,5000,2
new_york,10000,2
new_york,100,5
new_york,20000,0
new_york,200,5
new_york,2000,4
new_york,1000,4
baltimore,50000,0
baltimore,500,5
baltimore,5000,2
baltimore,10000,1
baltimore,100,5
baltimore,20000,0
baltimore,200,5
baltimore,2000,4
baltimore,1000,4
dallas,50000,0
dallas,500,5
dallas,5000,1
dallas,10000,1
dallas,100,5
dallas,20000,0
dallas,200,5
dallas,2000,3
dallas,1000,5
decatur,50000,0
decatur,500,1
decatur,10000,1
decatur,100,1
decatur,20000,0
decatur,200,1
decatur,2000,1
decatur,1000,1
