location,skew,distortion
baltimore,0.001,0
baltimore,0.1,7
baltimore,0.2,14
baltimore,0.5,16
baltimore,1.0,19
baltimore,2.0,20
baltimore,5.0,20
baltimore,10.0,20
baltimore,20.0,20
baltimore,50.0,20
decatur,0.001,0
decatur,0.1,0
decatur,0.2,0
decatur,0.5,1
decatur,1.0,1
decatur,2.0,1
decatur,10.0,1
new_york,0.001,0
new_york,0.1,7
new_york,0.2,11
new_york,0.5,16
new_york,1.0,18
new_york,2.0,18
new_york,5.0,20
new_york,10.0,20
new_york,20.0,20
new_york,50.0,20
newhaven,0.001,
redmond,0.001,0
redmond,0.1,2
redmond,0.2,6
redmond,0.5,6
redmond,1.0,8
redmond,2.0,13
redmond,5.0,19
redmond,10.0,19
redmond,20.0,14
redmond,50.0,11
