location,skew,distortion
baltimore,0.001,20
baltimore,0.1,15
baltimore,0.2,7
baltimore,0.5,5
baltimore,1.0,2
baltimore,2.0,2
baltimore,5.0,0
baltimore,10.0,0
baltimore,20.0,0
baltimore,50.0,0
decatur,0.001,1
decatur,0.1,1
decatur,0.2,1
decatur,0.5,0
decatur,1.0,0
decatur,2.0,0
decatur,10.0,0
new_york,0.001,19
new_york,0.1,11
new_york,0.2,4
new_york,0.5,0
new_york,1.0,1
new_york,2.0,0
new_york,5.0,0
new_york,10.0,0
new_york,20.0,0
new_york,50.0,0
newhaven,0.001,
redmond,0.001,10
redmond,0.1,9
redmond,0.2,6
redmond,0.5,5
redmond,1.0,1
redmond,2.0,0
redmond,5.0,0
redmond,10.0,0
redmond,20.0,0
redmond,50.0,0
