location,skew,distortion
new_york,50000,0
new_york,500,0
new_york,5000,0
new_york,10000,0
new_york,100,0
new_york,20000,0
new_york,200,0
new_york,2000,0
new_york,1000,0
newhaven,50000,0
newhaven,500,0
newhaven,5000,0
newhaven,10000,0
newhaven,100,0
newhaven,20000,0
newhaven,200,0
newhaven,2000,0
newhaven,1000,0
dallas,50000,0
dallas,500,0
dallas,5000,0
dallas,10000,0
dallas,100,0
dallas,20000,0
dallas,200,0
dallas,2000,0
dallas,1000,0
redmond,50000,0
redmond,500,0
redmond,5000,0
redmond,10000,0
redmond,100,0
redmond,20000,0
redmond,200,0
redmond,2000,0
redmond,1000,0
baltimore,50000,0
baltimore,500,0
baltimore,5000,0
baltimore,10000,0
baltimore,100,0
baltimore,20000,0
baltimore,200,0
baltimore,2000,0
baltimore,1000,0
