location,skew,distortion
new_york,50000,0.0
new_york,500,0.0
new_york,5000,0.0
new_york,10000,1.5
new_york,100,0.0
new_york,20000,5.42
new_york,200,0.0
new_york,2000,0.0
new_york,1000,0.0
newhaven,500,0.0
newhaven,5000,0.65
newhaven,10000,4.01
newhaven,100,0.0
newhaven,20000,5.02
newhaven,200,0.0
newhaven,2000,0.0
newhaven,1000,0.0
baltimore,500,0.0
baltimore,5000,1.46
baltimore,10000,2.71
baltimore,100,0.0
baltimore,20000,2.87
baltimore,200,0.0
baltimore,2000,0.0
baltimore,1000,0.0
dallas,50000,6.6
dallas,500,0.0
dallas,5000,1.63
dallas,10000,3.19
dallas,100,0.0
dallas,20000,6.17
dallas,200,0.0
dallas,2000,0.0
dallas,1000,0.0
decatur,500,0.0
decatur,5000,0.0
decatur,10000,0.0
decatur,100,0.0
decatur,20000,0.0
decatur,200,0.0
decatur,2000,0.0
decatur,1000,0.0
redmond,500,0.0
redmond,5000,0.0899999999999999
redmond,10000,0.1
redmond,100,0.0
redmond,20000,8.32
redmond,200,0.0
redmond,2000,0.00999999999999979
redmond,1000,0.0
