location,skew,distortion
dallas,50000,0
dallas,500,0
dallas,5000,0
dallas,10000,0
dallas,100,10
dallas,20000,0
dallas,200,5
dallas,2000,0
dallas,1000,1
baltimore,50000,0
baltimore,500,1
baltimore,5000,0
baltimore,10000,0
baltimore,100,10
baltimore,20000,0
baltimore,200,2
baltimore,2000,1
baltimore,1000,1
newhaven,50000,0
newhaven,500,1
newhaven,5000,1
newhaven,10000,0
newhaven,100,10
newhaven,20000,0
newhaven,200,10
newhaven,2000,0
newhaven,1000,1
new_york,50000,0
new_york,500,1
new_york,5000,1
new_york,10000,0
new_york,100,10
new_york,20000,0
new_york,200,3
new_york,2000,0
new_york,1000,0
redmond,50000,0
redmond,500,2
redmond,5000,0
redmond,10000,1
redmond,100,10
redmond,20000,0
redmond,200,3
redmond,2000,1
redmond,1000,2
decatur,500,0
decatur,5000,1
decatur,10000,0
decatur,100,3
decatur,20000,0
decatur,200,2
decatur,2000,1
decatur,1000,1
