location,skew,distortion
baltimore,100,13
baltimore,200,13
baltimore,500,13
baltimore,1000,13
baltimore,2000,13
baltimore,5000,14
baltimore,10000,14
baltimore,20000,14
baltimore,50000,15
dallas,100,15
dallas,200,15
dallas,500,15
dallas,1000,15
dallas,2000,15
dallas,5000,15
dallas,10000,15
dallas,20000,15
dallas,50000,15
decatur,100,0
decatur,200,0
decatur,500,0
decatur,1000,0
decatur,2000,0
decatur,5000,0
decatur,10000,2
decatur,20000,2
new_york,100,15
new_york,200,15
new_york,500,15
new_york,1000,15
new_york,2000,15
new_york,5000,15
new_york,10000,15
new_york,20000,15
new_york,50000,15
newhaven,100,13
newhaven,200,13
newhaven,500,13
newhaven,1000,12
newhaven,2000,13
newhaven,5000,13
newhaven,10000,15
newhaven,20000,15
newhaven,50000,15
redmond,100,13
redmond,200,14
redmond,500,14
redmond,1000,14
redmond,2000,13
redmond,5000,15
redmond,10000,15
redmond,20000,15
redmond,50000,15
