location,skew,distortion
baltimore,0.001,0.0
baltimore,0.1,0.010000000000000009
baltimore,0.2,0.0
baltimore,0.5,0.15500000000000003
baltimore,1.0,0.42500000000000004
baltimore,2.0,1.105
baltimore,10.0,7.85
dallas,0.001,0.0
dallas,0.1,0.0
dallas,0.2,0.0
dallas,0.5,0.245
dallas,1.0,0.4049999999999999
dallas,2.0,1.1949999999999998
decatur,0.001,0.0
decatur,0.1,0.0
decatur,0.2,0.0
decatur,0.5,0.11999999999999998
decatur,1.0,0.115
decatur,2.0,0.345
decatur,5.0,1.715
decatur,10.0,3.215
decatur,20.0,4.575
new_york,0.001,0.0
new_york,0.1,0.0
new_york,0.2,0.0
new_york,0.5,0.2899999999999998
new_york,1.0,0.06500000000000003
new_york,2.0,1.005
new_york,5.0,2.8649999999999998
new_york,10.0,4.295
newhaven,0.001,0.0
newhaven,0.1,0.034999999999999976
newhaven,0.2,0.034999999999999976
newhaven,0.5,0.21000000000000002
newhaven,1.0,0.7150000000000001
newhaven,2.0,0.345
newhaven,5.0,2.67
newhaven,10.0,2.73
redmond,0.001,0.0
redmond,0.1,0.0
redmond,0.2,0.0
redmond,0.5,0.0
redmond,1.0,0.17499999999999996
redmond,2.0,0.765
redmond,5.0,2.385
redmond,10.0,3.8000000000000003
