location,skew,distortion
baltimore,100,5
baltimore,200,5
baltimore,500,5
baltimore,1000,5
baltimore,2000,5
baltimore,5000,5
baltimore,10000,4
baltimore,20000,1
baltimore,50000,0
dallas,100,0
dallas,200,0
dallas,500,0
dallas,1000,0
dallas,2000,0
dallas,5000,0
dallas,10000,0
dallas,20000,0
dallas,50000,0
decatur,100,3
decatur,200,3
decatur,500,3
decatur,1000,3
decatur,2000,3
decatur,5000,3
decatur,10000,1
decatur,20000,1
new_york,100,0
new_york,200,0
new_york,500,0
new_york,1000,0
new_york,2000,0
new_york,5000,0
new_york,10000,0
new_york,20000,0
new_york,50000,0
newhaven,100,7
newhaven,200,7
newhaven,500,7
newhaven,1000,7
newhaven,2000,7
newhaven,5000,7
newhaven,10000,6
newhaven,20000,6
newhaven,50000,0
redmond,100,6
redmond,200,6
redmond,500,6
redmond,1000,6
redmond,2000,6
redmond,5000,6
redmond,10000,6
redmond,20000,6
redmond,50000,0
