location,skew,distortion
baltimore,0.001,0.0
baltimore,0.1,0.0
baltimore,0.2,0.0
baltimore,0.5,0.0
baltimore,1.0,0.0
baltimore,2.0,0.0
baltimore,5.0,0.0
baltimore,10.0,0.5
baltimore,20.0,4.34
baltimore,50.0,12.045
dallas,0.001,
decatur,0.001,
new_york,0.001,0.0
new_york,0.1,0.0
new_york,0.2,0.0
new_york,0.5,0.0
new_york,1.0,0.0
new_york,2.0,0.0
new_york,5.0,1.505
new_york,10.0,1.905
new_york,20.0,3.0999999999999996
newhaven,0.001,0.0
newhaven,0.1,0.0
newhaven,0.2,0.0
newhaven,0.5,0.0
newhaven,1.0,0.0
newhaven,2.0,0.040000000000000036
newhaven,5.0,0.08500000000000019
newhaven,10.0,1.79
newhaven,20.0,4.3549999999999995
redmond,0.001,0.0
redmond,0.1,0.0
redmond,0.2,0.0
redmond,0.5,0.0
redmond,1.0,0.0
redmond,2.0,0.0
redmond,5.0,0.0
redmond,10.0,0.0
redmond,20.0,0.0
redmond,50.0,0.0
