location,skew,distortion
baltimore,100,9
baltimore,200,9
baltimore,500,9
baltimore,1000,8
baltimore,2000,8
baltimore,5000,8
baltimore,10000,8
baltimore,20000,7
baltimore,50000,3
new_york,100,9
new_york,200,9
new_york,500,8
new_york,1000,8
new_york,2000,8
new_york,5000,7
new_york,10000,5
new_york,20000,0
new_york,50000,0
newhaven,100,9
newhaven,200,9
newhaven,500,9
newhaven,1000,9
newhaven,2000,9
newhaven,5000,8
newhaven,10000,7
newhaven,20000,6
newhaven,50000,0
redmond,100,10
redmond,200,10
redmond,500,10
redmond,1000,10
redmond,2000,10
redmond,5000,10
redmond,10000,10
redmond,20000,10
redmond,50000,9
