location,skew,distortion
baltimore,100,0
baltimore,200,0
baltimore,500,0
baltimore,1000,2
baltimore,2000,3
baltimore,5000,3
baltimore,10000,5
baltimore,20000,5
baltimore,50000,5
dallas,100,0
dallas,200,0
dallas,500,2
dallas,1000,2
dallas,2000,2
dallas,5000,3
dallas,10000,5
dallas,20000,5
dallas,50000,5
decatur,100,0
decatur,200,0
decatur,500,0
decatur,1000,0
decatur,2000,0
decatur,5000,2
decatur,10000,2
decatur,20000,3
decatur,50000,5
new_york,100,0
new_york,200,0
new_york,500,0
new_york,1000,2
new_york,2000,2
new_york,5000,2
new_york,10000,3
new_york,20000,4
new_york,50000,5
newhaven,100,0
newhaven,200,0
newhaven,500,0
newhaven,1000,0
newhaven,2000,2
newhaven,5000,3
newhaven,10000,5
newhaven,20000,5
newhaven,50000,5
redmond,100,0
redmond,200,0
redmond,500,0
redmond,1000,0
redmond,2000,1
redmond,5000,2
redmond,10000,2
redmond,20000,5
redmond,50000,5
