location,skew,distortion
baltimore,0.001,0.0
baltimore,0.1,0.0
baltimore,0.2,0.0
baltimore,0.5,0.0
baltimore,1.0,0.0
baltimore,2.0,0.0
baltimore,5.0,0.19500000000000028
baltimore,10.0,2.32
baltimore,20.0,5.195
baltimore,50.0,8.76
dallas,0.001,0.0
dallas,0.1,0.0
dallas,0.2,0.0
dallas,0.5,0.0
dallas,1.0,0.0
dallas,2.0,0.0
dallas,5.0,1.005
dallas,10.0,2.2649999999999997
dallas,20.0,5.725
dallas,50.0,9.969999999999999
decatur,0.001,0.0
decatur,0.1,0.0
decatur,0.2,0.0
decatur,0.5,0.0
decatur,1.0,0.0
decatur,2.0,0.0
decatur,5.0,0.0
decatur,10.0,0.0
decatur,20.0,0.0
decatur,50.0,28.189999999999998
new_york,0.001,0.0
new_york,0.1,0.0
new_york,0.2,0.0
new_york,0.5,0.0
new_york,1.0,0.0
new_york,2.0,0.0
new_york,5.0,0.0
new_york,10.0,0.18500000000000005
new_york,20.0,3.77
new_york,50.0,10.629999999999999
newhaven,0.001,0.0
newhaven,0.1,0.0
newhaven,0.2,0.0
newhaven,0.5,0.0
newhaven,1.0,0.0
newhaven,2.0,0.0
newhaven,5.0,0.08000000000000007
newhaven,10.0,1.615
newhaven,20.0,4.355
newhaven,50.0,23.215
redmond,0.001,0.0
redmond,0.1,0.0
redmond,0.2,0.0
redmond,0.5,0.0
redmond,1.0,0.0
redmond,2.0,0.0
redmond,5.0,0.0
redmond,10.0,0.0
redmond,20.0,2.5349999999999997
redmond,50.0,29.049999999999997
