location,skew,distortion
baltimore,0.001,20
baltimore,0.1,20
baltimore,0.2,20
baltimore,0.5,20
baltimore,1.0,20
baltimore,2.0,20
baltimore,5.0,19
baltimore,10.0,18
baltimore,20.0,18
baltimore,50.0,13
dallas,0.001,20
dallas,0.1,20
dallas,0.2,20
dallas,0.5,20
dallas,1.0,20
dallas,2.0,19
dallas,5.0,18
dallas,10.0,14
dallas,20.0,11
dallas,50.0,8
decatur,0.001,20
decatur,0.1,20
decatur,0.2,20
decatur,0.5,20
decatur,1.0,19
decatur,2.0,19
decatur,5.0,19
decatur,10.0,16
decatur,20.0,16
decatur,50.0,10
new_york,0.001,20
new_york,0.1,20
new_york,0.2,20
new_york,0.5,20
new_york,1.0,20
new_york,2.0,20
new_york,5.0,19
new_york,10.0,19
new_york,20.0,17
new_york,50.0,13
newhaven,0.001,20
newhaven,0.1,20
newhaven,0.2,20
newhaven,0.5,20
newhaven,1.0,20
newhaven,2.0,19
newhaven,5.0,18
newhaven,10.0,17
newhaven,20.0,17
newhaven,50.0,12
redmond,0.001,20
redmond,0.1,20
redmond,0.2,20
redmond,0.5,20
redmond,1.0,20
redmond,2.0,20
redmond,5.0,20
redmond,10.0,20
redmond,20.0,20
redmond,50.0,16
