emulator-5556
I/umd.troyd(  840): acp.clientlib.AcpAct
D/umd.troyd(  840): got command getViews
D/umd.troyd(  840): android.widget.FrameLayout@4058a1d0: 16908290 (0)
D/umd.troyd(  840): android.widget.RelativeLayout@4055d9c8: -1 (1)
D/umd.troyd(  840): android.widget.ListView@40581188: 2131558536 (2)
D/umd.troyd(  840): android.widget.RelativeLayout@405daf78: -1 (3)
D/umd.troyd(  840): android.widget.ImageView@405db338: 2131558519 (4)
D/umd.troyd(  840): android.widget.ImageView@405db570: 2131558520 (5)
D/umd.troyd(  840): android.widget.LinearLayout@40613818: -1 (6)
D/umd.troyd(  840): android.widget.RelativeLayout@40613a58: -1 (7)
D/umd.troyd(  840): android.widget.LinearLayout@40613e00: 2131558514 (8)
D/umd.troyd(  840): android.widget.TextView: Rollbacks (9)
D/umd.troyd(  840): android.widget.TextView: Low prices just got lower (10)
D/umd.troyd(  840): android.widget.ImageView@406176f8: 2131558517 (11)
D/umd.troyd(  840): android.widget.ImageView@40619d10: 2131558518 (12)
D/umd.troyd(  840): android.widget.LinearLayout@4061cb68: -1 (13)
D/umd.troyd(  840): android.widget.RelativeLayout@4061f5d8: -1 (14)
D/umd.troyd(  840): android.widget.LinearLayout@4061f980: 2131558514 (15)
D/umd.troyd(  840): android.widget.TextView: Scan QR Codes (16)
D/umd.troyd(  840): android.widget.TextView: Get item details and more (17)
D/umd.troyd(  840): android.widget.ImageView@405da648: 2131558517 (18)
D/umd.troyd(  840): android.widget.ImageView@40553978: 2131558518 (19)
D/umd.troyd(  840): android.widget.LinearLayout@405bc230: -1 (20)
D/umd.troyd(  840): android.widget.RelativeLayout@405d61b8: -1 (21)
D/umd.troyd(  840): android.widget.LinearLayout@4057c230: 2131558514 (22)
D/umd.troyd(  840): android.widget.TextView: Value of the Day (23)
D/umd.troyd(  840): android.widget.TextView: Grab it before it's gone (24)
D/umd.troyd(  840): android.widget.ImageView@405d9998: 2131558517 (25)
D/umd.troyd(  840): android.widget.ImageView@40544cf0: 2131558518 (26)
D/umd.troyd(  840): android.widget.LinearLayout@405f5f40: -1 (27)
D/umd.troyd(  840): android.widget.RelativeLayout@405f6130: -1 (28)
D/umd.troyd(  840): android.widget.LinearLayout@405f64d8: 2131558514 (29)
D/umd.troyd(  840): android.widget.TextView: Local Ads (30)
D/umd.troyd(  840): android.widget.TextView: Find great values at a store nearby (31)
D/umd.troyd(  840): android.widget.ImageView@405f7090: 2131558517 (32)
D/umd.troyd(  840): android.widget.ImageView@405f7320: 2131558518 (33)
D/umd.troyd(  840): android.widget.LinearLayout@40602098: -1 (34)
D/umd.troyd(  840): android.widget.RelativeLayout@40602288: -1 (35)
D/umd.troyd(  840): android.widget.LinearLayout@40602630: 2131558514 (36)
D/umd.troyd(  840): android.widget.TextView: Pharmacy (37)
D/umd.troyd(  840): android.widget.TextView: Browse $4 prescriptions, order refills (38)
D/umd.troyd(  840): android.widget.ImageView@406031e8: 2131558517 (39)
D/umd.troyd(  840): android.widget.ImageView@40603488: 2131558518 (40)
D/umd.troyd(  840): android.widget.RelativeLayout@4053f4a8: 2131558537 (41)
D/umd.troyd(  840): android.widget.Button:  (42)
D/umd.troyd(  840): android.widget.TextView: Search (43)
D/umd.troyd(  840): android.widget.RelativeLayout@40548600: 2131558541 (44)
D/umd.troyd(  840): android.widget.GridView@40555810: 2131558824 (45)
D/umd.troyd(  840): android.widget.LinearLayout@405ba2f0: 2131558538 (46)
D/umd.troyd(  840): android.widget.RelativeLayout@405bacf0: 2131558818 (47)
D/umd.troyd(  840): android.widget.ImageButton@405bf418: 2131558819 (48)
D/umd.troyd(  840): android.widget.RelativeLayout@405c9358: -1 (49)
D/umd.troyd(  840): android.widget.ImageView@405c9960: 2131558820 (50)
D/umd.troyd(  840): android.widget.TextView:  (51)
D/umd.troyd(  840): android.widget.RelativeLayout@405ce210: -1 (52)
D/umd.troyd(  840): android.widget.Button:  (53)
D/umd.troyd(  840): android.widget.ImageView@405d4250: 2131558823 (54)
D/umd.troyd(  840): android.widget.LinearLayout@4054f478: 2131558542 (55)
D/umd.troyd(  840): android.widget.RelativeLayout@4057a6e8: 2131558543 (56)
D/umd.troyd(  840): android.widget.ImageView@40575468: 2131558544 (57)
D/umd.troyd(  840): got command getViews
D/umd.troyd(  840): android.widget.FrameLayout@4058a1d0: 16908290 (0)
D/umd.troyd(  840): android.widget.RelativeLayout@4055d9c8: -1 (1)
D/umd.troyd(  840): android.widget.ListView@40581188: 2131558536 (2)
D/umd.troyd(  840): android.widget.RelativeLayout@405daf78: -1 (3)
D/umd.troyd(  840): android.widget.ImageView@405db338: 2131558519 (4)
D/umd.troyd(  840): android.widget.ImageView@405db570: 2131558520 (5)
D/umd.troyd(  840): android.widget.LinearLayout@40613818: -1 (6)
D/umd.troyd(  840): android.widget.RelativeLayout@40613a58: -1 (7)
D/umd.troyd(  840): android.widget.LinearLayout@40613e00: 2131558514 (8)
D/umd.troyd(  840): android.widget.TextView: Rollbacks (9)
D/umd.troyd(  840): android.widget.TextView: Low prices just got lower (10)
