location,skew,distortion
baltimore,100,100
baltimore,200,99
baltimore,500,98
baltimore,1000,96
baltimore,2000,92
baltimore,5000,82
baltimore,10000,58
baltimore,20000,36
baltimore,50000,0
dallas,100,100
dallas,200,100
dallas,500,97
dallas,1000,95
dallas,2000,87
dallas,5000,67
dallas,10000,52
dallas,20000,44
dallas,50000,0
decatur,100,6
decatur,200,6
decatur,500,6
decatur,1000,6
decatur,2000,6
decatur,5000,6
decatur,10000,6
decatur,20000,6
decatur,50000,0
newhaven,100,73
newhaven,200,73
newhaven,500,73
newhaven,1000,73
newhaven,2000,72
newhaven,5000,71
newhaven,10000,67
newhaven,20000,61
newhaven,50000,0
new_york,100,99
new_york,200,99
new_york,500,96
new_york,1000,95
new_york,2000,92
new_york,5000,75
new_york,10000,55
new_york,20000,5
new_york,50000,0
redmond,100,100
redmond,200,99
redmond,500,99
redmond,1000,98
redmond,2000,95
redmond,5000,86
redmond,10000,81
redmond,20000,47
redmond,50000,0
